cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
       136  1.234813536E-05  2.499997513E-07  1.234813536E-05  2.499997513E-07  8.939913128E+01  1.577782937E-02  1.577723453E-02  1.370047758E-04 
       137  1.578131890E-05  4.249721169E-06  1.578131890E-05  4.249721169E-06  5.077060667E+01  1.462113880E-01  1.462112902E-01  1.691042922E-04 
       138  1.626518658E-05  4.750238351E-06  1.626518658E-05  4.750238351E-06  4.485459849E+01  1.492389490E-01  1.492389454E-01  3.280610272E-05 
       139  1.529138675E-05  3.749910986E-06  1.529138675E-05  3.749910986E-06  5.662397424E+01  1.402229334E-01  1.402224205E-01  3.792524277E-04 
       140  1.480216741E-05  3.249962991E-06  1.480216741E-05  3.249962991E-06  6.249222042E+01  1.313604297E-01  1.313583719E-01  7.352681277E-04 
       141  1.675426717E-05  5.250085122E-06  1.675426717E-05  5.250085122E-06  3.894419342E+01  1.492742298E-01  1.492742298E-01 -3.548267619E-06 
       142  1.431581417E-05  2.749959420E-06  1.431581417E-05  2.749959420E-06  6.823417977E+01  1.196974047E-01  1.196920016E-01  1.137292984E-03 
       143  1.725117886E-05  5.750041638E-06  1.725117886E-05  5.750041638E-06  3.296735581E+01  1.463090031E-01  1.463090027E-01 -1.102785717E-05 
       144  1.382822606E-05  2.250015788E-06  1.382822606E-05  2.250015788E-06  7.394150404E+01  1.052922651E-01  1.052813720E-01  1.514530514E-03 
       145  1.775022066E-05  6.250012321E-06  1.775022066E-05  6.250012321E-06  2.693975705E+01  1.403281024E-01  1.403281023E-01  3.750658575E-06 
       146  1.334007678E-05  1.749915732E-06  1.334007678E-05  1.749915732E-06  7.950167583E+01  8.809073259E-02  8.807421925E-02  1.705600094E-03 
       147  1.825002513E-05  6.750001911E-06  1.825002513E-05  6.750001911E-06  2.094377480E+01  1.313555230E-01  1.313555222E-01  1.498602944E-05 
       148  1.284776792E-05  1.249629958E-06  1.284776792E-05  1.249629958E-06  8.493672637E+01  6.788138399E-02  6.786401581E-02  1.535464461E-03 
       149  1.875000223E-05  7.249999918E-06  1.875000223E-05  7.249999918E-06  1.494836717E+01  1.193863101E-01  1.193863083E-01  2.052942033E-05 
       150  1.235179214E-05  7.497520168E-07  1.235179214E-05  7.497520168E-07  8.987496752E+01  4.421140573E-02  4.419932276E-02  1.033568793E-03 
       151  1.925000080E-05  7.749999979E-06  1.925000080E-05  7.749999979E-06  9.038514982E+00  1.044698058E-01  1.044698036E-01  2.149892376E-05 
       152  1.975000019E-05  8.250000021E-06  1.975000019E-05  8.250000021E-06  3.028468562E+00  8.648365144E-02  8.648364881E-02  2.132340150E-05 
       153  1.185398749E-05  2.499997306E-07  1.185398749E-05  2.499997306E-07  9.532392400E+01  1.632245437E-02  1.632112611E-02  2.082282891E-04 
       154  1.577308640E-05  4.750658514E-06  1.577308640E-05  4.750658514E-06  5.081976360E+01  1.491595983E-01  1.491595893E-01  5.177879926E-05 
       155  1.528991519E-05  4.249813270E-06  1.528991519E-05  4.249813270E-06  5.678219207E+01  1.460970559E-01  1.460967853E-01  2.811689652E-04 
       156  1.625913546E-05  5.250250207E-06  1.625913546E-05  5.250250207E-06  4.492611088E+01  1.492336594E-01  1.492336587E-01 -1.363823345E-05 
       157  1.479882453E-05  3.749996374E-06  1.479882453E-05  3.749996374E-06  6.263815207E+01  1.401057701E-01  1.401043641E-01  6.276774675E-04 
       158  1.430899079E-05  3.249960773E-06  1.430899079E-05  3.249960773E-06  6.854076619E+01  1.313158006E-01  1.313105104E-01  1.178712274E-03 
       159  1.675272304E-05  5.750063340E-06  1.675272304E-05  5.750063340E-06  3.898198842E+01  1.462945491E-01  1.462945445E-01 -3.668380665E-05 
       160  1.382202010E-05  2.749987297E-06  1.382202010E-05  2.749987297E-06  7.431129882E+01  1.198440006E-01  1.198306066E-01  1.791704979E-03 
       161  1.725069977E-05  6.250026968E-06  1.725069977E-05  6.250026968E-06  3.294310394E+01  1.403303392E-01  1.403303385E-01 -1.353891554E-05 
       162  1.333415143E-05  2.249965443E-06  1.333415143E-05  2.249965443E-06  8.005647060E+01  1.057590579E-01  1.057330776E-01  2.344061042E-03 
       163  1.775012289E-05  6.750007115E-06  1.775012289E-05  6.750007115E-06  2.692110141E+01  1.313573945E-01  1.313573942E-01  8.117461171E-06 
       164  1.284593336E-05  1.750080922E-06  1.284593336E-05  1.750080922E-06  8.565664889E+01  8.899257754E-02  8.895449674E-02  2.603145597E-03 
       165  1.825001306E-05  7.250001120E-06  1.825001306E-05  7.250001120E-06  2.093156386E+01  1.193942046E-01  1.193942029E-01  2.044199413E-05 
       166  1.235362323E-05  1.250370080E-06  1.235362323E-05  1.250370080E-06  9.113290119E+01  6.920762615E-02  6.916884185E-02  2.316643039E-03 
